wavelength,beta_1_uncoupled,beta_2_uncoupled,beta_ave_uncoupled
1.535,-0.1930631436935073,0.1930631436944168,6095.18438656901
1.536,-0.18148376261979138,0.18148376261888188,6090.900808078357
1.537,-0.16995506161492813,0.16995506161583762,6086.623309808516
1.5379999999999998,-0.16995506161492813,0.16995506161583762,6086.623309808516
1.539,-0.14704927481943741,0.14704927481943741,6078.086502060852
1.54,-0.10842168581075384,0.10842168581075384,6074.469261425096
1.541,-0.09704367391532287,0.09704367391532287,6070.214757171354
1.5419999999999998,-0.09704367391532287,0.09704367391532287,6070.214757171354
1.543,-0.07443820877961116,0.07443820877961116,6061.7237909371115
1.544,-0.06321054547061067,0.06321054547152016,6057.487303390122
1.545,-0.0520327886524683,0.0520327886524683,6053.256795904652
1.5459999999999998,-0.0520327886524683,0.0520327886524683,6053.256795904652
1.547,-0.029826576893356105,0.0298265768942656,6044.813670381322
1.548,-0.018797913772687025,0.01879791377359652,6040.601027063514
1.549,-0.007818740745278774,0.007818740744369279,6036.394313247021
1.5499999999999998,-0.007818740745278774,0.007818740744369279,6036.394313247021
1.551,0.013991548658850661,-0.013991548658850661,6027.998623949738
1.552,0.02482287136535888,-0.02482287136535888,6023.809623471776
1.553,0.03560511647629028,-0.03560511647629028,6019.626502501415
1.5539999999999998,0.03560511647629028,-0.03560511647629028,6019.626502501415
1.555,0.057022783926186094,-0.0570227839252766,6011.277849475146
1.556,0.06765841058950173,-0.06765841059041122,6007.112292701793
1.557,0.07824536832595186,-0.07824536832595186,6002.952566000342
1.5579999999999998,0.07824536832595186,-0.07824536832595186,6002.952566000342
1.559,0.0991229265146103,-0.0991229265137008,5994.648115626338
1.56,0.1094890056829172,-0.1094890056829172,5990.504595864361
1.561,0.09150047668754269,-0.09150047668754269,5985.749384143921
1.5619999999999998,0.09150047668754269,-0.09150047668754269,5985.749384143921
1.563,0.11189229498904751,-0.11189229498904751,5977.493524978535
1.564,0.12201621476378932,-0.12201621476378932,5973.374224081006
1.565,0.1320922754584899,-0.1320922754584899,5969.260659555675
