wavelength,beta_1_uncoupled,beta_2_uncoupled,beta_ave_uncoupled
1.535,-0.1746127894912206,0.17461278949031112,6095.165936214809
1.536,-0.16304724410019844,0.16304724409928895,6090.882371559839
1.537,-0.15153238962193427,0.15153238962193427,6086.604887136519
1.538,-0.14006811973467848,0.14006811973558797,6082.333469968045
1.539,-0.1286543283285937,0.1286543283285937,6078.068107114359
1.54,-0.11729090948938392,0.11729090949029342,6073.808785671212
1.541,-0.10597775759197248,0.10597775759197248,6069.555492771778
1.542,-0.09471476720136707,0.09471476720136707,6065.308215584748
1.543,-0.083501833209084,0.08350183320999349,6061.066941315397
1.544,-0.07233885065397772,0.07233885065306822,6056.831657205805
1.545,-0.061225714855027036,0.061225714855027036,6052.602350532529
1.546,-0.050162321419520595,0.05016232142043009,6048.37900860962
1.547,-0.039148566116637085,0.03914856611572759,6044.161618785614
1.548,-0.028184344968394726,0.028184344968394726,6039.950168445645
1.549,-0.017269554268750653,0.01726955426784116,6035.744645009207
1.55,-0.006404090583600919,0.006404090582691424,6031.5450359323295
1.551,0.004412149356539885,-0.004412149356539885,6027.351328705818
1.552,0.015179268511928967,-0.015179268511928967,6023.163510855264
1.553,0.025897369650920155,-0.025897369650920155,6018.981569941605
1.554,0.03656655526447139,-0.03656655526447139,6014.805493561027
1.555,0.04718692764890875,-0.047186927647999255,6010.635269343562
1.556,0.05775858878769213,-0.05775858878860163,6006.470884955144
1.557,0.06828164046328311,-0.06828164046328311,6002.312328094736
1.558,0.07868069688629475,-0.07868069688629475,5998.158368754576
1.559,0.08903127886060247,-0.08903127886060247,5994.010218635382
1.56,0.09933348799950181,-0.09933348799950181,5989.867865512556
1.561,0.10958742566072033,-0.10958742566072033,5985.731297194948
1.562,0.11979319300007774,-0.11979319300007774,5981.600501526084
1.563,0.1299508908896314,-0.1299508908896314,5977.475466382628
1.564,0.14006061999407393,-0.14006061999407393,5973.356179675776
1.565,0.15012248067705514,-0.15012248067796463,5969.242629350449
