wavelength,beta_1_uncoupled,beta_2_uncoupled,beta_ave_uncoupled
1.505,-0.5315681292622685,0.531568129263178,6226.375405314553
1.51,-0.4694210788957207,0.4694210788957207,6204.1189328437495
1.515,-0.40834319409896125,0.40834319409805175,6182.022573218539
1.52,-0.34832436844044423,0.3483243684413537,6160.084597328287
1.525,-0.2893545919632743,0.2893545919623648,6138.3033007558115
1.53,-0.23137221217712067,0.23137221217803017,6116.673587355901
1.535,-0.17393275926042406,0.17393275926133356,6095.16525619246
1.54,-0.11751442230342946,0.11751442230251996,6073.809009193234
1.545,-0.06210761046349944,0.06210761046349944,6052.603232438821
1.55,-0.007702830815105699,0.007702830814196204,6031.546334684994
1.555,0.045709311066275404,-0.045709311066275404,6010.63674697457
1.56,0.09797443545721762,-0.09797443545630813,5989.869224581846
1.565,0.14915496537651052,-0.14915496537651052,5969.243596885141
1.57,0.19936882729780336,-0.19936882729780336,5948.760852307042
1.575,0.24862506986210064,-0.24862506986301014,5928.419504000227
1.58,0.2969326404236199,-0.2969326404245294,5908.218085651981
1.585,0.3443003847296495,-0.34430038472874,5888.15515113973
1.59,0.3907370467113651,-0.3907370467113651,5868.22927419284
1.595,0.4362512679063002,-0.4362512679053907,5848.439048059188
