wavelength,modeidx,neff,ng,loss,polarization,beta_ang
Bending Radius = 0.001006,gap_x = 4e-06
1540,1,1.479815561300214+1.770258291200082e-13i,1.601010389600889-1.023015514567994e-11i,6.273502734300923e-06,0.9996874786616867,6073.859171720651
1540,2,1.479765832851943+6.213371218385692e-15i,1.592861412018834-1.475366974854268e-12i,2.201916043638158e-07,0.9999632607246380,6073.655062776584
1541,1,1.479736942615151+1.837047519476608e-13i,1.600762763732971-1.017998678250700e-11i,6.505968063485251e-06,0.9996888226839418,6069.595188078093
1541,2,1.479692433038051+7.352021618077486e-15i,1.592736529542577-2.124909232146908e-12i,2.603744178751188e-07,0.9999616559576451,6069.412618388030
1542,1,1.479658490481989+1.902791436255867e-13i,1.600494585976292-9.706673388533311e-12i,6.734432274760726e-06,0.9996908474546347,6065.337417614915
1542,2,1.479619107725921+8.955929880235408e-15i,1.592632475401315-3.079477894612724e-12i,3.169716979314861e-07,0.9999593720808759,6065.175981915041
1543,1,1.479580221659988+1.963122353473305e-13i,1.600193371409474-8.686061756548114e-12i,6.943454876934082e-06,0.9996939699590496,6061.085916905196
1543,2,1.479545839623046+1.141771145750717e-14i,1.592561564631058-4.821864044638068e-12i,4.038381212601904e-07,0.9999559926191413,6060.945071226905
1544,1,1.479502163763508+2.012892160073602e-13i,1.599836728804240-6.202617161261653e-12i,7.114876855020853e-06,0.9996989440909431,6056.840786815462
1544,2,1.479472600583083+1.517739512197099e-14i,1.592545906303256-7.656406704567862e-12i,5.364683683246563e-07,0.9999507645072153,6056.719759971858
1545,1,1.479424364275516+2.038749779211312e-13i,1.599383106548131-1.398242870497227e-12i,7.201610330501460e-06,0.9997071818217321,6052.602209237294
1545,2,1.479399342592788+2.167173754929854e-14i,1.592626595341845-1.326834710890523e-11i,7.655250811373273e-07,0.9999422770686975,6052.499840846037
1546,1,1.479346907743750+2.019609748274348e-13i,1.598755428470200+8.457693369775572e-12i,7.129386247177214e-06,0.9997213329137877,6048.370517132488
1546,2,1.479325980575330+3.313996758793703e-14i,1.592880079942414-2.370625866895085e-11i,1.169867739820604e-06,0.9999278821918807,6048.284955545942
1547,1,1.479269944440455+1.912158251634661e-13i,1.597826166918287+2.587673863939127e-11i,6.745710415860086e-06,0.9997458608082578,6044.146311145570
1547,2,1.479252363730786+5.383025364308490e-14i,1.593433593179106-4.275375608783426e-11i,1.899023275809532e-06,0.9999031167378312,6044.074478156672
1548,1,1.479193712847862+1.664585029392965e-13i,1.596472959379569+4.986862372628197e-11i,5.868528302488081e-06,0.9997852670038681,6039.930550553187
1548,2,1.479178253050863+8.883379377858715e-14i,1.594411542432038-6.679217100807763e-11i,3.131853427740743e-06,0.9998634721996624,6039.867424203076
1549,1,1.479118467654379+1.290432466507424e-13i,1.594822778055432+6.076862966721040e-11i,4.546508827714741e-06,0.9998356647258940,6035.724258286148
1549,2,1.479103393322497+1.369827284014916e-13i,1.595692659604788-7.983568085371732e-11i,4.826236165674222e-06,0.9998128184785466,6035.662745626677
1550,1,1.479044262189889+9.180821055016516e-14i,1.593331403026676+5.016089395341644e-11i,3.232540685501378e-06,0.9998814358423479,6031.527633497381
