wavelength,beta_1_uncoupled,beta_2_uncoupled,beta_ave_uncoupled
1.54,0.10631575445040653,-0.10631575445040653,6024.4228663610575
1.542,0.08135105601013493,-0.08135105601013493,6015.994859207398
1.544,0.056236887335217034,-0.056236887335217034,6007.590931341167
1.546,0.030974607212556293,-0.0309746072116468,5999.210979978221
1.548,0.005565549011407711,-0.005565549011407711,5990.854902930316
1.55,-0.019988981854112353,0.019988981855021848,5982.5225986025325
1.552,-0.04568770993682847,0.04568770993682847,5974.21396599333
1.554,-0.07152938498711592,0.07152938498711592,5965.9289046837175
1.556,-0.09751275141661608,0.09751275141661608,5957.667314804887
1.558,-0.12378960717069276,0.12378960717160226,5949.42807170935
1.56,-0.15035757777877734,0.15035757777877734,5941.2110940974735
