,len_prop,100,200,300,400,500,600,700
0,100.0,0.000227378326048,0.0006378480016174,0.0012571296775142,0.0019690491430364,0.0027674149693159,0.0038505118936711,0.0053843160051776
1,105.0,0.0002497035237936,0.0006815717997855,0.0013263857274058,0.0020619139349488,0.0028806204235073,0.0039884191472197,0.005558679912778
2,110.0,0.0002737692172167,0.000727792775348,0.001398866156556,0.0021585584115186,0.0029979291012347,0.0041307215428288,0.0057379490340868
3,115.0,0.0002996700738594,0.0007766186312639,0.0014746888644696,0.0022591064617166,0.0031194655650548,0.0042775425915455,0.0059222493333124
4,120.0,0.000327503282666,0.0008281593771016,0.0015539735168044,0.0023636832137187,0.0032453558742487,0.004429008322409,0.0061117104573434
5,125.0,0.0003573684984631,0.0008825271654565,0.001636841405531,0.0024724152992961,0.0033757283402799,0.0045852479942965,0.006306465468892
6,130.0,0.0003893677804727,0.0009398361853079,0.0017234155248313,0.0025854313500805,0.0035107141712623,0.0047463942392653,0.0065066498510218
7,135.0,0.0004236055424322,0.0010002026524202,0.0018138208278987,0.0027028625048718,0.0036504477067353,0.0049125825428209,0.006712400178626
8,140.0,0.0004601885277624,0.0010637448954966,0.0019081845477679,0.0028248426929745,0.0037950661115694,0.0050839502518562,0.0069238530088489
9,145.0,0.0004992258125759,0.0011305834936409,0.0020066364310965,0.0029515085465578,0.0039447086289856,0.0052606355123776,0.0071411444641927
10,150.0,0.0005408288266054,0.001200841395045,0.0021093087648847,0.0030829989515856,0.0040995156888512,0.0054427765829757,0.0073644106963094
11,155.0,0.000585111373013,0.0012746439508821,0.0022163361615285,0.0032194544053486,0.0042596282412977,0.005630511821371,0.0075937890429542
12,160.0,0.0006321896269039,0.0013521188323244,0.0023278551723072,0.0033610164403858,0.0044251876008679,0.005823980358323,0.0078294193845283
13,165.0,0.0006821821002438,0.0014333958485032,0.0024440038781687,0.0035078273559172,0.0045963358740992,0.0060233231752453,0.0080714451057631
14,170.0,0.0007352095749455,0.0015186067280736,0.0025649216232807,0.0036600303729411,0.0047732167917025,0.0062286841170885,0.0083200132206688
15,175.0,0.0007913950200862,0.0016078849464198,0.0026907490015502,0.0038177701486439,0.0049559765833826,0.0064402103846218,0.0085752735674488
16,180.0,0.0008508635172437,0.0017013656645267,0.0028216280999511,0.0039811934256393,0.0051447645018125,0.0066580522614412,0.0088373773791814
17,185.0,0.0009137422157527,0.0017991857994373,0.0029577028896944,0.0041504495236807,0.0053397327402784,0.0068823621544386,0.0091064758145572
18,190.0,0.0009801603275221,0.0019014841889328,0.0030991195863849,0.0043256904383138,0.0055410357433474,0.0071132933268122,0.0093827190670691
19,195.0,0.0010502491538312,0.002008401769066,0.0032460268056093,0.0045070704728165,0.0057488291733516,0.0073509988476591,0.0096662564393891
20,200.0,0.0011241421215298,0.0021200816733615,0.0033985754221704,0.0046947455303604,0.0059632689541634,0.007595631204723,0.0099572373637126
21,205.0,0.0012019748001637,0.0022366691917957,0.0035569181667552,0.0048888723460726,0.0061845107951718,0.0078473427541682,0.0102558129402818
22,210.0,0.0012838848779635,0.0023583115862065,0.0037212091097583,0.0050896079755493,0.0064127104033995,0.0081062868237286,0.0105621373298494
23,215.0,0.0013700120913224,0.0024851578216947,0.003891603237976,0.0052971097569088,0.0066480243005671,0.0083726189974637,0.0108763683803358
24,220.0,0.0014604981223593,0.0026173583130289,0.0040682562975671,0.005511535765716,0.0068906108960599,0.008646498016424,0.0111986671794469
25,225.0,0.0015554864940968,0.0027550647835624,0.0042513249681541,0.0057330455683077,0.007140631344096,0.0089280858784443,0.011529196680124
