wavl,"AS( double 3.00,0.00)"
1.50518018018018,-623.1240625091459
1.5052702702702705,-621.5124027822591
1.5053603603603605,-619.9002028985943
1.5054504504504505,-618.2874633176564
1.5055405405405404,-616.6741836964189
1.5056306306306306,-615.0603635555594
1.5057207207207206,-613.4460029341839
1.5058108108108108,-611.831102309208
1.5059009009009008,-610.2156610693764
1.505990990990991,-608.5996790968703
1.506081081081081,-606.9831570006377
1.5061711711711712,-605.3660937862535
1.5062612612612611,-603.7484894803714
1.5063513513513511,-602.1303449474507
1.506441441441441,-600.5116591886633
1.5065315315315315,-598.8924322307453
1.5066216216216215,-597.2726643937685
1.5067117117117117,-595.6523550828651
1.5068018018018017,-594.0315048927417
1.506891891891892,-592.4101131860929
1.506981981981982,-590.7881796213395
1.507072072072072,-589.1657052018481
1.507162162162162,-587.5426890241539
1.5072522522522522,-585.9191307488361
1.5073423423423422,-584.2950309749117
1.5074324324324324,-582.6703894883264
1.5075225225225224,-581.0452060731737
1.5076126126126126,-579.4194806348182
1.5077027027027026,-577.7932130996361
1.5077927927927928,-576.1664032622992
1.5078828828828827,-574.539051168577
1.507972972972973,-572.9111568895687
1.508063063063063,-571.282720339068
1.5081531531531531,-569.6537414180915
1.508243243243243,-568.0242195151433
1.5083333333333333,-566.3941549693159
1.5084234234234233,-564.7635482386464
1.5085135135135137,-563.1323982823537
1.5086036036036037,-561.5007053012895
1.5086936936936937,-559.8684698956652
1.5087837837837836,-558.2356911674291
1.5088738738738738,-556.6023691707055
1.5089639639639638,-554.9685040953964
1.509054054054054,-553.3340957342473
1.509144144144144,-551.6991442813835
1.5092342342342342,-550.0636492384206
1.5093243243243242,-548.4276105236073
1.5094144144144144,-546.7910280678494
1.5095045045045044,-545.1539020586517
1.5095945945945946,-543.5162326876851
1.5096846846846843,-541.8780192023227
1.5097747747747747,-540.239261510517
1.5098648648648647,-538.6093632853804
1.509954954954955,-537.2140319003727
1.5100450450450449,-536.4765981128671
1.510135135135135,-536.3973517884582
1.510225225225225,-536.5532861030764
1.5103153153153153,-536.7187265900837
1.5104054054054052,-536.8842693208228
1.5104954954954954,-537.049914163397
1.5105855855855854,-537.2156608445287
1.5106756756756756,-537.3815099050017
1.5107657657657656,-537.5474609255834
1.5108558558558558,-537.7135143134174
1.5109459459459458,-537.8796698058089
1.511036036036036,-538.045926713913
1.511126126126126,-538.2122863821975
1.5112162162162162,-538.3787484064105
1.511306306306306,-538.5453117120077
1.5113963963963963,-538.7119775096515
1.5114864864864863,-538.8787456528207
1.5115765765765763,-539.0456153334499
1.5116666666666665,-539.2125874911604
1.5117567567567567,-539.3796617183834
1.511846846846847,-539.5468377513255
1.5119369369369369,-539.7141161223349
1.5120270270270268,-539.8814962831955
1.512117117117117,-540.0489786354312
1.512207207207207,-540.2165631804214
1.5122972972972972,-540.3842496482902
1.5123873873873872,-540.5520384423094
1.5124774774774774,-540.7199291514711
1.5125675675675674,-540.8879215022555
1.5126576576576576,-541.0560161709681
1.5127477477477476,-541.2242131417615
1.5128378378378378,-541.392511878495
1.5129279279279275,-541.5609126622604
1.513018018018018,-541.7294156138753
1.513108108108108,-541.89802059428
1.513198198198198,-542.0667274706495
1.513288288288288,-542.2355362339838
1.5133783783783783,-542.4044474206462
1.5134684684684685,-542.5734606313448
1.5135585585585585,-542.7425751906965
1.5136486486486485,-542.9117923012342
1.5137387387387389,-543.0811118192885
1.5138288288288286,-543.2505325398412
1.5139189189189188,-543.420055411581
1.5140090090090088,-543.5896808249737
1.514099099099099,-543.7594078266845
1.514189189189189,-543.9292368244365
1.5142792792792792,-544.099167959972
1.5143693693693692,-544.2692008205254
1.5144594594594594,-544.439335932368
1.5145495495495491,-544.6095730357096
1.5146396396396395,-544.7799119961768
1.5147297297297295,-544.950353025812
1.5148198198198195,-545.1208958362777
1.51490990990991,-545.2683802869805
1.515,-545.2769819949827
1.51509009009009,-545.053981344477
1.51518018018018,-544.6919436080926
1.5152702702702705,-544.3066491215733
1.5153603603603605,-543.921257938439
1.5154504504504505,-543.5357707020996
1.5155405405405404,-543.1501867079778
1.5156306306306306,-542.7645058029086
1.5157207207207206,-542.3787290323479
1.5158108108108108,-541.9928555542774
1.5159009009009008,-541.6068852305143
1.515990990990991,-541.2208184285043
1.516081081081081,-540.834654700647
1.5161711711711712,-540.4483945815012
1.5162612612612612,-540.0620379069796
1.5163513513513514,-539.6755842320489
1.516441441441441,-539.2890340801805
1.5165315315315315,-538.9023868988176
1.5166216216216215,-538.5156426383987
1.5167117117117117,-538.1288022125455
1.5168018018018017,-537.7418646826461
1.516891891891892,-537.3548297332038
1.516981981981982,-536.967698403865
1.517072072072072,-536.5804702904704
1.517162162162162,-536.1931449531575
1.5172522522522522,-535.805722481544
1.5173423423423422,-535.4182030056595
1.5174324324324324,-535.0305867711642
1.5175225225225224,-534.6428733297042
1.5176126126126126,-534.2550625289791
1.5177027027027026,-533.8671548862213
1.5177927927927928,-533.4791502313612
1.5178828828828828,-533.0910481405551
1.517972972972973,-532.7028489915932
1.518063063063063,-532.3145524844235
1.5181531531531531,-531.9261583303205
1.5182432432432431,-531.5376675708252
1.518333333333333,-531.1490795129806
1.5184234234234233,-530.7603935884041
1.5185135135135135,-530.3716105755623
1.5186036036036037,-529.9827300619862
1.5186936936936937,-529.5937522729181
1.5187837837837836,-529.2046771796319
1.5188738738738738,-528.8155042338474
1.5189639639639638,-528.426233933603
1.519054054054054,-528.0368662522367
1.519144144144144,-527.6474006441811
1.5192342342342342,-527.2578378684955
1.5193243243243242,-526.8681776325211
