wavelength,beta_1_coupled,beta_2_coupled
1.54,0.10861494195377436,-0.1086149419537744
1.541,0.09726417260706521,-0.09726417260706524
1.542,0.08597078499544634,-0.08597078499544633
1.5430000000000001,0.07473785313849411,-0.07473785313849411
1.544,0.06357065064199811,-0.06357065064199811
1.545,0.05247893896313196,-0.052478938963131966
1.546,0.041482835606311635,-0.04148283560631164
1.5470000000000002,0.03063097142402936,-0.030630971424029357
1.548,0.020075466425852697,-0.020075466425852694
1.549,0.010575749051757628,-0.01057574905175762
1.55,0.007839871410229442,-0.007839871410229446
1.5510000000000002,0.015768329848502113,-0.015768329848502113
1.552,0.025887535593177136,-0.02588753559317714
1.553,0.036370976751467235,-0.03637097675146724
1.554,0.046941723992333075,-0.046941723992333095
1.5550000000000002,0.05752438668756617,-0.05752438668756618
1.556,0.06809051270294982,-0.06809051270294983
1.557,0.07862708239134414,-0.07862708239134411
1.558,0.08905230865641274,-0.08905230865641281
1.5590000000000002,0.09943721432015497,-0.09943721432015497
1.56,0.10977953236462054,-0.10977953236462057
