wavl,"(2.50,0.00)","(2.55,0.00)","(2.60,0.00)","(2.65,0.00)","(2.70,0.00)","(2.75,0.00)","(2.80,0.00)","(2.85,0.00)","(2.90,0.00)","(2.95,0.00)","(3.00,0.00)","(3.05,0.00)","(3.10,0.00)","(3.15,0.00)","(3.20,0.00)","(3.25,0.00)","(3.30,0.00)","(3.35,0.00)","(3.40,0.00)","(3.45,0.00)","(3.50,0.00)"
1.5753753753753754,-5274.592159935475,-5274.456263193206,-5274.320454531076,-5274.184733939783,-5274.0489092470125,-5273.913172643685,-5273.777428085513,-5273.641675581799,-5273.506011214049,-5273.37024283786,-5273.2345626255465,-5273.09887453282,-5272.963082413046,-5272.827378568796,-5272.691762972154,-5272.556139532316,-5272.420508249278,-5272.285061407003,-5272.149318411887,-5272.013759876142,-5271.87819357163
1.5754754754754756,-5284.016055990867,-5283.879828447989,-5283.743977406537,-5283.607829988953,-5283.471866807444,-5283.335703387131,-5283.199724295931,-5283.063833377912,-5282.927742286212,-5282.791931633046,-5282.6559208527215,-5282.51999832931,-5282.384067944093,-5282.248225806486,-5282.112279725568,-5281.976421938781,-5281.840460236594,-5281.704683003081,-5281.568897982193,-5281.433009064514,-5281.297304671332
1.5755755755755756,-5293.438049381246,-5293.30187554055,-5293.1655014424405,-5293.029119370878,-5292.89301771924,-5292.756811984732,-5292.620502167354,-5292.484280560372,-5292.348051054367,-5292.211909795973,-5292.075664519836,-5291.939507509918,-5291.80353495937,-5291.667362272359,-5291.531085660646,-5291.394993536214,-5291.258989743126,-5291.122689759985,-5290.98686275054,-5290.850739541736,-5290.71470476662
1.5756756756756758,-5302.860303537969,-5302.723798850144,-5302.5871900422335,-5302.450669407503,-5302.314236983166,-5302.177892778527,-5302.041348353692,-5301.904796039139,-5301.76852426546,-5301.632052327407,-5301.495764839419,-5301.35927721497,-5301.222781756626,-5301.086470804172,-5300.950248210975,-5300.813825499922,-5300.677587359887,-5300.541245304453,-5300.40479940805,-5300.268634219994,-5300.132269016425
1.5757757757757758,-5312.287191188305,-5312.150355597527,-5312.013704363775,-5311.877045184483,-5311.740089619753,-5311.603414614505,-5311.466827875475,-5311.330137090792,-5311.193438453606,-5311.056731936007,-5310.920209924296,-5310.783487794732,-5310.646757840576,-5310.510212420222,-5310.373851533669,-5310.237098226693,-5310.100529565165,-5309.964145474654,-5309.827369000936,-5309.690969521755,-5309.554466164389
1.575875875875876,-5321.715154216457,-5321.578276209142,-5321.44129405383,-5321.304400155432,-5321.167306018229,-5321.030300165852,-5320.893478772845,-5320.756649527335,-5320.619523905692,-5320.482775185545,-5320.345730098569,-5320.2089657106335,-5320.072193553931,-5319.935317472526,-5319.79833749433,-5319.661734454845,-5319.52483514157,-5319.388024308503,-5319.251398130188,-5319.114475752514,-5318.977834269263
1.575975975975976,-5331.140921791067,-5331.00371278776,-5330.866399682976,-5330.729174863018,-5330.592134493125,-5330.454893921643,-5330.317645488354,-5330.180485377108,-5330.043413671638,-5329.906237948426,-5329.769054409928,-5329.632055479662,-5329.495048762021,-5329.3579381568925,-5329.22062743391,-5329.08378993583,-5328.946752338504,-5328.8097070747535,-5328.672846512274,-5328.53568971322,-5328.398717689868
1.576076076076076,-5340.56987930878,-5340.432243051202,-5340.29479133673,-5340.157331713931,-5340.02005661563,-5339.882581278524,-5339.745098107522,-5339.60770332369,-5339.470493082963,-5339.332986512622,-5339.195760752969,-5339.058431031397,-5338.921093587578,-5338.783748384296,-5338.646491651918,-5338.509034866813,-5338.371858985434,-5338.234675465545,-5338.097291855711,-5337.960285445099,-5337.822982788609
1.5761761761761763,-5350.001595401332,-5349.8639167179135,-5349.726326356536,-5349.588535681922,-5349.450833403782,-5349.313219503505,-5349.175597769336,-5349.038064468854,-5348.900330920263,-5348.762782063639,-5348.625321705831,-5348.487661137131,-5348.350089095156,-5348.212509284416,-5348.075210461138,-5347.937615308246,-5347.800012507538,-5347.662498280077,-5347.524976414103,-5347.387639351744,-5347.250198494938
1.5762762762762763,-5359.433014349183,-5359.295197000251,-5359.157275521931,-5359.0193462562365,-5358.881312916977,-5358.743464223164,-5358.605607714066,-5358.467743454808,-5358.329871454695,-5358.192087878966,-5358.054200359926,-5357.916305146551,-5357.778594671663,-5357.640876493137,-5357.503150676097,-5357.365417155417,-5357.227676033441,-5357.089831042586,-5356.952267141536,-5356.814406985304,-5356.676827900268
1.5763763763763765,-5368.864157845397,-5368.725913102637,-5368.587660498071,-5368.449592585472,-5368.311516885497,-5368.173337102655,-5368.035245818627,-5367.8970505354655,-5367.759136249069,-5367.621021705261,-5367.482899476421,-5367.34496201398,-5367.206824396468,-5367.068871610481,-5366.930814927705,-5366.792846873999,-5366.654967384236,-5366.516984053506,-5366.378993167999,-5366.241090985994,-5366.103181165476
1.5764764764764765,-5378.29629906528,-5378.157819352209,-5378.019428091435,-5377.881029015372,-5377.742814668494,-5377.604496294571,-5377.466170161184,-5377.327740028662,-5377.189398450781,-5377.051145408929,-5376.912884682048,-5376.774712509805,-5376.636340191795,-5376.49796022597,-5376.359765119583,-5376.221658679482,-5376.083448351895,-5375.9453267185045,-5375.807101272059,-5375.668964473291,-5375.530723926595
1.576576576576577,-5387.732664066065,-5387.59404561305,-5387.455515649548,-5387.316977917279,-5387.178239862467,-5387.039686601968,-5386.9011256099175,-5386.762653191114,-5386.623884228706,-5386.485492660902,-5386.346900882205,-5386.208397751186,-5386.069983202718,-5385.931561034346,-5385.792938748119,-5385.65450136785,-5385.516056442108,-5385.377700201259,-5385.239336387027,-5385.100868796953,-5384.962489984813
1.5766766766766769,-5397.169860473776,-5397.031007031843,-5396.892145849055,-5396.753276869587,-5396.614400149265,-5396.475515716,-5396.336719855981,-5396.197916264411,-5396.05929756019,-5395.920382377493,-5395.781652054235,-5395.642817871401,-5395.50416858522,-5395.365607974629,-5395.2268472368805,-5395.088078916443,-5394.949399346027,-5394.810712211531,-5394.672017512952,-5394.533411620219,-5394.394798209925
1.5767767767767769,-5406.604949042891,-5406.465860593431,-5406.326668098318,-5406.187467843742,-5406.0484524393,-5405.9094293405215,-5405.770398566016,-5405.63126380168,-5405.492410229492,-5405.353356465018,-5405.214391357527,-5405.075322343941,-5404.936342005944,-5404.797354103868,-5404.658551163571,-5404.519644438131,-5404.38063386242,-5404.241808360135,-5404.102975340291,-5403.964038525997,-5403.825190536157
