wavl,"(2.50,0.00)","(2.55,0.00)","(2.60,0.00)","(2.65,0.00)","(2.70,0.00)","(2.75,0.00)","(2.80,0.00)","(2.85,0.00)","(2.90,0.00)","(2.95,0.00)","(3.00,0.00)","(3.05,0.00)","(3.10,0.00)","(3.15,0.00)","(3.20,0.00)","(3.25,0.00)","(3.30,0.00)","(3.35,0.00)","(3.40,0.00)","(3.45,0.00)","(3.50,0.00)"
1.558958958958959,-1010.641459879885,-917.414355766296,-802.8344508193238,-726.1535160406306,-659.0838825475643,-587.1365968468837,-548.0495492598934,-523.0433821763747,-513.2940093961427,-524.6086924966519,-552.3778677135678,-615.2107166353729,-681.4318681776422,-763.4921805184048,-896.2359955332076,-1011.9622450318102,-1140.232356832328,-1328.4686346028834,-1480.6400309468686,-1640.5924499172036,-1863.4110775645281
1.5590590590590592,-1040.351883772256,-949.8010318222788,-839.3146626595857,-766.1291508376504,-702.9437770612112,-636.8100723228398,-602.5739819157583,-582.8450897696843,-580.7953254315667,-598.3691006652157,-632.7956705199153,-705.0859409549785,-778.7962132790061,-868.6468205625521,-1012.1796438244646,-1136.241615213884,-1273.0063731287007,-1472.739889156227,-1633.6007096930082,-1802.2507553528876,-2036.6108591468867
1.5591591591591591,-1070.0714912031267,-982.1973643160272,-875.8066812578749,-806.1171914902328,-746.8172020873661,-686.5000763482509,-657.1158731401739,-642.6670438489311,-648.3202313697159,-672.1551323112722,-713.2412828510412,-794.9931782139997,-876.1950746490967,-973.8395367570422,-1128.165326224882,-1260.5658454010752,-1405.82813563411,-1617.0640582234048,-1786.6168857935284,-1963.9684617297044,-2209.8742829705475
1.5592592592592591,-1099.802870836131,-1014.60669517463,-912.3125306980032,-846.1217334309117,-790.7088181224448,-736.2097633952707,-711.6798839320504,-702.5127762902121,-715.8716945252609,-745.9701317067796,-793.7186140612843,-884.9363386226394,-973.6323628143552,-1079.073486830035,-1244.1967660658952,-1384.9379059962466,-1538.7017449533323,-1761.4443015601078,-1939.6926608576048,-2125.7494830339333,-2383.2050750266612
1.559359359359359,-1129.5429404548158,-1047.026507412745,-948.8304473694204,-886.1391300673534,-834.615355494096,-785.9362406370997,-766.2629335627144,-762.3792062345735,-783.4464460816276,-819.8113954712005,-874.2253377089127,-974.911401217761,-1071.1059406122092,-1184.3452155338866,-1360.2705087328632,-1509.3564139756002,-1671.6248770279583,-1905.877542310216,-2092.8257118510846,-2287.5905551038395,-2556.6001599118026
1.5594594594594595,-1159.289934603433,-1079.4533407181889,-985.3582896594008,-926.166863294782,-878.5331663235091,-835.6773670752702,-820.861751222416,-822.2634396993462,-851.0425342447538,-893.6764069885263,-954.757807534032,-1064.916038382905,-1168.6110324736894,-1289.652207592032,-1476.3836627546598,-1633.8177250883073,-1804.593699816836,-2050.361643958762,-2246.0125844154377,-2449.4880353625545,-2730.0570258835855
1.5595595595595595,-1189.0466073157777,-1111.8908908294848,-1021.8973048887526,-966.2088177768136,-922.4661351626074,-885.4357093996737,-875.4800338217216,-882.1693624273117,-918.6634684141984,-967.567734139636,-1035.3191569652192,-1154.953760745997,-1266.1513375613224,-1394.9985395338256,-1592.5399285036651,-1758.324975275766,-1937.612102841251,-2194.9001200934167,-2399.256415646425,-2611.4465683073618,-2903.578811154775
1.5596596596596597,-1218.8150316313302,-1144.342172956284,-1058.4506965599046,-1006.2665018989608,-966.4170893382465,-935.213718314871,-930.119855684741,-942.0994258859694,-986.3100047914912,-1041.488017391542,-1115.9124033708467,-1245.0260791484347,-1363.7306275856292,-1500.3864766544402,-1708.741194931384,-1882.880618887904,-2070.6819758149177,-2339.4939190574923,-2552.559284591426,-2773.468045046169,-3077.1677841435403
1.55975975975976,-1248.5924771507173,-1176.80294972581,-1095.0166768154609,-1046.3368089927728,-1010.382357360004,-985.00828763612,-984.7777339112984,-1002.049205395904,-1053.9799799387542,-1115.4345282798042,-1196.533688140285,-1335.1308310457423,-1461.344668225611,-1605.8115964706783,-1824.9845471608007,-2007.481364592964,-2203.800404810166,-2484.140504066978,-2705.9186549690467,-2935.548611082256,-3250.82122128124
1.55985985985986,-1278.3218802803167,-1209.201455706563,-1131.497470075824,-1086.300287223262,-1054.214591955786,-1034.6287188830938,-1039.2250846009308,-1061.7458232318268,-1121.3334157925826,-1189.0079169583455,-1276.7218382871304,-1424.7135442075255,-1558.3628394532825,-1710.5622304140811,-1940.442964669169,-2131.209342437413,-2335.9547121861383,-2627.6971434283364,-2858.0913333921776,-3096.344610441763,-3423.0571198710695
1.55995995995996,-1307.1204072193468,-1240.421288160968,-1166.3798529329238,-1124.2772425071698,-1095.5995748059747,-1081.062727822762,-1089.8303564430123,-1116.853629233704,-1182.9508982503723,-1255.8729690077637,-1349.13064093986,-1504.9395022357005,-1644.7358308917917,-1803.2947330487773,-2041.9310239301496,-2239.424180580131,-2450.995097312972,-2751.934353544882,-2989.2498056093614,-3234.408254015038,-3570.2505460221
1.56006006006006,-1333.5807042268948,-1268.678304280391,-1197.2503781978012,-1157.2679218837684,-1130.8416800988657,-1119.5003487321153,-1130.796160130017,-1160.4476938288358,-1230.1825231624628,-1305.9129779044947,-1402.030246128447,-1561.7043992358515,-1704.4184351560684,-1865.894947183824,-2108.3951159425665,-2308.7492975746027,-2523.1365776624025,-2827.745253022072,-3067.7343350912824,-3315.493004831767,-3654.678424200403
1.5601601601601602,-1357.9299842346988,-1294.2605090959194,-1224.4987431491943,-1185.7562089108062,-1160.5375572681871,-1150.7191071614673,-1163.0606347843525,-1193.6490968130115,-1264.429691217163,-1340.765563455906,-1437.3198293799685,-1597.2931813533382,-1740.0102533635045,-1901.2958826376416,-2143.244830213535,-2342.9704786107327,-2556.5552065725383,-2859.843449994017,-3098.673007626336,-3345.1457350881674,-3682.449380558332
1.5602602602602602,-1381.611569109338,-1318.9984421485356,-1250.602732833689,-1212.821157628634,-1188.481151872477,-1179.6566987319409,-1192.5744572732744,-1223.565832174349,-1294.5716068472536,-1370.8173444375952,-1467.040771754816,-1626.1856594801166,-1767.9829544021547,-1928.0944734585264,-2168.0958849981776,-2366.088358349918,-2577.724906965754,-2878.113012873413,-3114.5710957968163,-3358.52777990972,-3692.2952469692714
