wavl,2,N
1.4030150753768800,9145.25021408441,9508.134090378100
1.4045226130653300,9032.001039748050,9396.47178122776
1.4060301507537700,8918.492770134460,9284.558052387880
1.407537688442210,8804.706305522180,9172.35471578202
1.4090452261306500,8689.707666368650,9057.99379842081
1.4105527638191000,8571.292798292330,8937.067203942930
1.4120603015075400,8448.973189101110,8808.59790284722
1.4135678391959800,8324.84338720466,8676.774976800180
1.415075376884420,8200.29586709241,8544.383404233040
1.4165829145728600,8075.429181563010,8411.620282851190
1.4180904522613100,7950.33860107725,8278.676129010890
1.4195979899497500,7825.999804915570,8147.502321883200
1.4211055276381900,7703.680732332590,8020.634743446740
1.4226130653266300,7582.901633539290,7897.1138810107400
1.4241206030150800,7462.322146129080,7774.259029019400
1.4256281407035200,7341.464630654870,7651.114890291340
1.4271356783919600,7220.324190266870,7527.671659118360
1.428643216080400,7098.528949431990,7403.1856196254200
1.430150753768840,6974.598205323080,7274.695350510040
1.4316582914572900,6847.578453979130,7140.293833119280
1.4331658291457300,6718.725183875710,7002.4920635207600
1.434673366834170,6589.342309078210,6863.897850119770
1.436180904522610,6459.633813220310,6724.919162920310
1.4376884422110600,6329.691231118230,6585.739094115620
1.439195979899500,6202.091395503480,6451.51129128253
1.4407035175879400,6081.964933718270,6332.496999160400
1.4422110552763800,5969.643573649360,6229.3596936689200
1.443718592964820,5860.110270419250,6132.065280070440
1.4452261306532700,5750.524594942840,6034.932890064500
1.4467336683417100,5640.7495570369700,5937.6885579014400
1.4482412060301500,5530.152813063650,5839.067580034140
1.449748743718590,5413.883005770170,5729.367245183300
1.451256281407040,5286.59357457373,5597.8944575542600
1.4527638190954800,5151.333727446040,5450.747605076490
1.4542713567839200,5013.995543404920,5299.71083902365
1.4557788944723600,4876.2992399575,5148.224627068180
1.457286432160800,4738.248604460660,4996.29652236194
1.4587939698492500,4599.6042021249300,4843.447646293110
1.4603015075376900,4459.59441671502,4688.134797294810
1.4618090452261300,4317.846394125340,4529.612242366590
1.463316582914570,4175.050132725610,4369.259974458800
1.464824120603020,4031.806898558710,4208.280552893790
1.4663316582914600,3888.188384539790,4046.817337489040
1.467839195979900,3744.3814456765400,3885.2440369057400
1.4693467336683400,3603.785942183220,3730.3604047588800
1.4708542713567800,3472.1585603295900,3593.67978579544
1.472361809045230,3348.950987550790,3474.105540294520
1.4738693467336700,3228.3791435529600,3360.0695428313500
1.4753768844221100,3107.6672699446900,3246.0202610284300
1.4768844221105500,2986.731638684800,3131.790233839520
1.478391959799000,2864.9711919965500,3016.1773611100500
1.479899497487440,2738.835590436410,2892.080943371350
1.4814070351758800,2605.050192471270,2752.951706547630
1.4829145728643200,2466.2144737576100,2603.988614996290
1.4844221105527600,2326.1496829535500,2452.834143123960
1.485929648241210,2185.7523410774500,2301.2813394322200
1.4874371859296500,2045.0438099004200,2149.372946389070
1.4889447236180900,1905.695655488870,2000.4520803913100
1.4904522613065300,1772.1531925639100,1863.409363082750
1.4919597989949700,1645.862545732510,1741.137057861100
1.493467336683420,1522.6855406296100,1625.3588137253300
1.4949748743718600,1399.5619413887900,1509.9541496193800
1.4964824120603000,1276.2208809699100,1394.3813448709300
1.4979899497487400,1152.4865365385300,1278.2887436153400
1.4994974874371900,1026.132219133850,1157.2229663520900
1.501005025125630,893.9410468662750,1024.7502658880700
