wavl,"AS( double 3.00,0.00)"
1.50518018018018,-606.7263574125118
1.5052702702702705,-606.6599616765088
1.5053603603603605,-606.5935810681112
1.5054504504504505,-606.527215573673
1.5055405405405404,-606.4608651795315
1.5056306306306306,-606.3945298720391
1.5057207207207206,-606.3282096375387
1.5058108108108108,-606.2619044623752
1.5059009009009008,-606.1956143329007
1.505990990990991,-606.1293392354601
1.506081081081081,-606.0630791563926
1.5061711711711712,-605.9968340820578
1.5062612612612611,-605.9306039987914
1.5063513513513511,-605.86438889294
1.506441441441441,-605.7981887508577
1.5065315315315315,-605.7320035588855
1.5066216216216215,-605.6658333033665
1.5067117117117117,-605.5996779706547
1.5068018018018017,-605.533537547095
1.506891891891892,-605.4674120190248
1.506981981981982,-605.4013013728036
1.507072072072072,-605.3352055947726
1.507162162162162,-605.2691246712711
1.5072522522522522,-605.2030585886605
1.5073423423423422,-605.1370073332728
1.5074324324324324,-605.0709708914601
1.5075225225225224,-605.0049492495746
1.5076126126126126,-604.9389423939501
1.5077027027027026,-604.8729503109389
1.5077927927927928,-604.8069729868948
1.5078828828828827,-604.7410104081555
1.507972972972973,-604.6750625610694
1.508063063063063,-604.6091294319867
1.5081531531531531,-604.543211007247
1.508243243243243,-604.4773072731969
1.5083333333333333,-604.4114182161902
1.5084234234234233,-604.3455438225701
1.5085135135135137,-604.2796840786777
1.5086036036036037,-604.2138389708725
1.5086936936936937,-604.1480084854848
1.5087837837837836,-604.0821926088702
1.5088738738738738,-604.0163913273773
1.5089639639639638,-603.95060462734
1.509054054054054,-603.8848324951177
1.509144144144144,-603.8190749170572
1.5092342342342342,-603.7533318794958
1.5093243243243242,-603.687603368784
1.5094144144144144,-603.6218893712721
1.5095045045045044,-603.556189873294
1.5095945945945946,-603.4905048612109
1.5096846846846843,-603.4248343213676
1.5097747747747747,-603.3591782400981
1.5098648648648647,-603.2935366037636
1.509954954954955,-603.2279093987036
1.5100450450450449,-603.1622966112591
1.510135135135135,-603.0966982277878
1.510225225225225,-603.0311142346309
1.5103153153153153,-602.9655446181296
1.5104054054054052,-602.8999893646396
1.5104954954954954,-602.8344484605022
1.5105855855855854,-602.7689218920623
1.5106756756756756,-602.7034096456719
1.5107657657657656,-602.6379117076704
1.5108558558558558,-602.5724280644099
1.5109459459459458,-602.5069587022354
1.511036036036036,-602.4415036074952
1.511126126126126,-602.3760627665251
1.5112162162162162,-602.3106361656883
1.511306306306306,-602.2452237913203
1.5113963963963963,-602.1798256297661
1.5114864864864863,-602.1144416673815
1.5115765765765763,-602.0490718905057
1.5116666666666665,-601.9837162854838
1.5117567567567567,-601.9183748386677
1.511846846846847,-601.8530475363987
1.5119369369369369,-601.7877343650289
1.5120270270270268,-601.7224353109032
1.512117117117117,-601.6571503603609
1.512207207207207,-601.5918794997542
1.5122972972972972,-601.5266227154334
1.5123873873873872,-601.4613799937415
1.5124774774774774,-601.3961513210179
1.5125675675675674,-601.3309366836256
1.5126576576576576,-601.2657360678913
1.5127477477477476,-601.200549460169
1.5128378378378378,-601.1353768468143
1.5129279279279275,-601.0702182141649
1.513018018018018,-601.0050735485656
1.513108108108108,-600.939942836374
1.513198198198198,-600.8748260639204
1.513288288288288,-600.8097232175605
1.5133783783783783,-600.7446342836429
1.5134684684684685,-600.6795592485032
1.5135585585585585,-600.6144980984973
1.5136486486486485,-600.5494508199772
1.5137387387387389,-600.4844173992733
1.5138288288288286,-600.4193978227431
1.5139189189189188,-600.3543920767333
1.5140090090090088,-600.2894001475797
1.514099099099099,-600.224422021638
1.514189189189189,-600.1594576852603
1.5142792792792792,-600.094507124777
1.5143693693693692,-600.0295703265474
1.5144594594594594,-599.9646472769164
1.5145495495495491,-599.8997379622197
1.5146396396396395,-599.8348423688203
1.5147297297297295,-599.7699604830505
1.5148198198198195,-599.7050922912622
1.51490990990991,-599.6402377798022
1.515,-599.5753969350226
1.51509009009009,-599.5105697432555
1.51518018018018,-599.4457561908621
1.5152702702702705,-599.38095626418
1.5153603603603605,-599.316169949554
1.5154504504504505,-599.2513972333345
1.5155405405405404,-599.1866381018772
1.5156306306306306,-599.1218925415105
1.5157207207207206,-599.0571605385921
1.5158108108108108,-598.9924420794687
1.5159009009009008,-598.9277371504759
1.515990990990991,-598.863045737975
1.516081081081081,-598.7983678283053
1.5161711711711712,-598.7337034078082
1.5162612612612612,-598.6690524628411
1.5163513513513514,-598.6044149797435
1.516441441441441,-598.5397909448602
1.5165315315315315,-598.4751803445433
1.5166216216216215,-598.4105831651341
1.5167117117117117,-598.345999392981
1.5168018018018017,-598.2814290144324
1.516891891891892,-598.2168720158334
1.516981981981982,-598.1523283835268
1.517072072072072,-598.0877981038666
1.517162162162162,-598.023281163194
1.5172522522522522,-597.9587775478522
1.5173423423423422,-597.894287244193
1.5174324324324324,-597.8298102385634
1.5175225225225224,-597.7653465173062
1.5176126126126126,-597.7008960667717
1.5177027027027026,-597.636458873305
1.5177927927927928,-597.572034923247
1.5178828828828828,-597.5076242029572
1.517972972972973,-597.443226698766
1.518063063063063,-597.3788423970236
1.5181531531531531,-597.3144712840876
1.5182432432432431,-597.2501133462974
1.518333333333333,-597.1857685699943
1.5184234234234233,-597.1214369415375
1.5185135135135135,-597.0571184472556
1.5186036036036037,-596.9928130735079
1.5186936936936937,-596.9285208066412
1.5187837837837836,-596.8642416329967
1.5188738738738738,-596.799975538921
1.5189639639639638,-596.7357225107662
1.519054054054054,-596.6714825348718
1.519144144144144,-596.6072555975879
1.5192342342342342,-596.5430416852614
1.5193243243243242,-596.4788407842316
