wavl,"double(5.00,0.00)"
1.5002002002002002,-611.1964165220888
1.5003003003003004,-611.1215391807291
1.5004004004004003,-611.0466816121443
1.5005005005005005,-610.971843797648
1.5006006006006005,-610.8970257185465
1.5007007007007007,-610.8222273561496
1.5008008008008007,-610.7474486917672
1.500900900900901,-610.6726897067092
1.501001001001001,-610.5979503822819
1.501101101101101,-610.5232306998005
1.5012012012012013,-610.4485306405695
1.5013013013013012,-610.3738501859025
1.5014014014014014,-610.2991893171093
1.5015015015015014,-610.2245480154979
1.5016016016016016,-610.1499262623784
1.5017017017017018,-610.0753240390641
1.5018018018018018,-610.0007413268559
1.501901901901902,-609.9261781070654
1.502002002002002,-609.8516343610081
1.5021021021021022,-609.7771100699902
1.5022022022022021,-609.7026052153215
1.5023023023023023,-609.6281197783173
1.5024024024024023,-609.5536537402768
1.5025025025025025,-609.4792070825188
1.5026026026026027,-609.4047797863477
1.5027027027027027,-609.3303718330699
1.5028028028028029,-609.2559832040042
1.5029029029029028,-609.1816138804534
1.503003003003003,-609.1072638437272
1.503103103103103,-609.0329330751429
1.5032032032032032,-608.9586215560048
1.5033033033033032,-608.8843292676193
1.5034034034034034,-608.8100561913034
1.5035035035035036,-608.7358023083543
1.5036036036036036,-608.6615676000965
1.5037037037037038,-608.5873520478344
1.5038038038038037,-608.5131556328724
1.503903903903904,-608.4389783365241
1.504004004004004,-608.3648201401011
1.5041041041041041,-608.2906810249115
1.5042042042042043,-608.2165609722651
1.5043043043043043,-608.1424599634684
1.5044044044044045,-608.0683779798328
1.5045045045045045,-607.994315002672
1.5046046046046047,-607.9202710132922
1.5047047047047046,-607.8462459930015
1.5048048048048048,-607.7722399231116
1.5049049049049048,-607.6982527849304
1.505005005005005,-607.6242845597735
1.5051051051051052,-607.5503352289452
1.5052052052052052,-607.4764047737553
1.5053053053053054,-607.4024931755121
1.5054054054054054,-607.3286004155289
1.5055055055055055,-607.2547264751101
1.5056056056056055,-607.1808713355731
1.5057057057057057,-607.107034978224
1.505805805805806,-607.0332173843744
1.505905905905906,-606.959418535329
1.506006006006006,-606.885638412401
1.506106106106106,-606.8118769968987
1.5062062062062063,-606.7381342701283
1.5063063063063062,-606.6644102134051
1.5064064064064064,-606.5907048080353
1.5065065065065064,-606.5170180353343
1.5066066066066066,-606.4433498766048
1.5067067067067068,-606.3697003131638
1.5068068068068068,-606.296069326314
1.506906906906907,-606.222456897367
1.507007007007007,-606.1488630076328
1.5071071071071072,-606.0752876384195
1.5072072072072071,-606.0017307710405
1.5073073073073073,-605.9281923867984
1.5074074074074073,-605.8546724670141
1.5075075075075075,-605.781170992992
1.5076076076076077,-605.7076879460365
1.5077077077077077,-605.6342233074647
1.5078078078078079,-605.560777058583
1.5079079079079079,-605.4873491806993
1.508008008008008,-605.4139396551218
1.508108108108108,-605.3405484631676
1.5082082082082082,-605.2671755861393
1.5083083083083084,-605.1938210053522
1.5084084084084084,-605.1204847021145
1.5085085085085086,-605.0471666577323
1.5086086086086086,-604.9738668535192
1.5087087087087088,-604.9005852707833
1.5088088088088087,-604.8273218908325
1.508908908908909,-604.7540766949751
1.509009009009009,-604.6808496645262
1.5091091091091091,-604.6076407807923
1.5092092092092093,-604.5344500250849
1.5093093093093093,-604.4612773787121
1.5094094094094095,-604.3881228229875
1.5095095095095095,-604.3149863392136
1.5096096096096097,-604.2418679087041
1.5097097097097096,-604.1687675127705
1.5098098098098098,-604.0956851327155
1.5099099099099098,-604.0226207498545
1.51001001001001,-603.9495743454936
1.5101101101101102,-603.8765459009519
1.5102102102102102,-603.8035353975265
1.5103103103103104,-603.7305428165382
1.5104104104104104,-603.657568139286
1.5105105105105106,-603.584611347087
1.5106106106106105,-603.5116724212476
