gap/L_lower,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5
0.5,5970.71341614045,5974.11176070787,5977.267860674375,5980.202411723036,5982.934326297796,5985.480833405845,5987.857596827896,5990.078840216604,5992.157471886481,5994.105204963339,5995.932670447003
0.6,5970.116073129207,5973.514079015918,5976.669864747671,5979.604123933565,5982.33576712479,5984.882021606321,5987.258549594881,5989.479573324577,5991.557999823945,5993.50554105328,5995.332826955804
0.7,5969.518730120686,5972.916397326805,5976.071868823967,5979.005836147267,5981.737207955147,5984.283209810355,5986.659502365682,5988.880306436612,5990.958527765752,5992.905877147838,5994.732983469561
0.8,5968.921387114819,5972.318715640487,5975.473872903212,5978.407548364109,5981.13864878883,5983.684398017938,5986.060455140243,5988.281039552673,5990.359055711868,5992.30621324702,5994.133139988246
0.9,5968.324044111666,5971.721033957009,5974.875876985453,5977.809260584109,5980.540089625868,5983.085586229084,5985.461407918621,5987.681772672788,5989.75958366231,5991.706549350832,5993.533296511897
1.0,5967.726701111204,5971.12335227637,5974.27788107065,5977.210972807245,5979.941530466249,5982.486774443781,5984.862360700782,5987.082505796964,5989.160111617081,5991.106885459274,5992.933453040497
1.1,5967.129358113425,5970.525670598518,5973.679885158852,5976.61268503354,5979.342971309959,5981.887962662044,5984.26331348673,5986.483238925188,5988.560639576182,5990.50722157235,5992.333609574049
1.2,5966.532015118358,5969.927988923517,5973.081889250019,5976.014397262996,5978.744412157043,5981.289150883887,5983.66426627649,5985.883972057457,5987.961167539621,5989.907557690052,5991.733766112575
1.3,5965.934672125988,5969.330307251358,5972.483893344191,5975.416109495598,5978.145853007458,5980.69033910925,5983.06521907004,5985.284705193782,5987.361695507397,5989.307893812399,5991.133922656045
1.4,5965.337329136312,5968.732625582006,5971.885897441311,5974.817821731363,5977.547293861225,5980.091527338219,5982.466171867394,5984.685438334174,5986.762223479494,5988.708229939387,5990.534079204474
1.5,5964.739986149331,5968.134943915488,5971.287901541433,5974.219533970263,5976.948734718327,5979.492715570721,5981.867124668539,5984.086171478604,5986.16275145594,5988.108566070977,5989.934235757856
1.6,5964.142643165051,5967.5372622518,5970.689905644514,5973.621246212336,5976.350175578804,5978.893903806812,5981.268077473508,5983.486904627116,5985.563279436715,5987.50890220725,5989.334392316224
1.7,5963.545300183457,5966.939580590962,5970.091909750603,5973.022958457574,5975.751616442612,5978.295092046462,5980.66903028225,5982.887637779666,5984.963807421835,5986.909238348128,5988.734548879534
1.8,5962.947957204581,5966.341898932932,5969.493913859676,5972.424670705961,5975.153057309776,5977.696280289674,5980.069983094809,5982.288370936288,5984.36433541127,5986.309574493658,5988.134705447816
1.9,5962.350614228398,5965.744217277728,5968.895917971716,5971.826382957493,5974.554498180297,5977.097468536449,5979.470935911173,5981.689104096968,5983.764863405062,5985.709910643823,5987.534862021044
2.0,5961.753271254943,5965.146535625388,5968.297922086764,5971.228095212219,5973.955939054201,5976.498656786805,5978.871888731329,5981.08983726172,5983.165391403203,5985.110246798649,5986.935018599283
2.1,5961.155928284164,5964.548853975877,5967.699926204787,5970.62980747007,5973.357379931425,5975.899845040733,5978.272841555317,5980.490570430519,5982.565919405683,5984.510582958118,5986.33517518248
2.2,5960.558585316087,5963.951172329182,5967.10193032582,5970.031519731101,5972.758820812003,5975.301033298219,5977.673794383084,5979.89130360341,5981.966447412509,5983.910919122219,5985.73533177062
2.3,5959.961242350723,5963.353490685329,5966.503934449811,5969.433231995289,5972.160261695954,5974.702221559285,5977.074747214683,5979.292036780334,5981.366975423677,5983.311255290977,5985.135488363746
