wavl,"(2.50,0.00)","(2.55,0.00)","(2.60,0.00)","(2.65,0.00)","(2.70,0.00)","(2.75,0.00)","(2.80,0.00)","(2.85,0.00)","(2.90,0.00)","(2.95,0.00)","(3.00,0.00)","(3.05,0.00)","(3.10,0.00)","(3.15,0.00)","(3.20,0.00)","(3.25,0.00)","(3.30,0.00)","(3.35,0.00)","(3.40,0.00)","(3.45,0.00)","(3.50,0.00)","(0.00,2.00)","(0.00,0.20)","(0.00,1.00)","(4.00,0.00)","(5.00,0.00)"
1.5202020202020203,-257.07580852273617,-257.0649527016817,-257.0540982913016,-257.043245308192,-257.0323920088331,-257.02154104861194,-257.0106915589957,-256.9998418047628,-256.98899267749624,-256.9781468288949,-256.9672998849465,-256.9564553769468,-256.94561155584404,-256.93476844561053,-256.9239269387512,-256.9130861731875,-256.9022479200992,-256.89140868322687,-256.8805719920224,-256.86973434838234,-256.85889928544634,4205.8283719625815,4205.8283719625815,2661.318627038103,-2647.7623562515355,-3062.008742383133
1.5212121212121212,-345.7829871201617,-345.7699235338913,-345.75685805289163,-345.74379597779455,-345.7307355660023,-345.7176741907103,-345.7046162692653,-345.69155918039473,-345.6785020574098,-345.6654484362164,-345.65239393358206,-345.6393412030497,-345.62629114357844,-345.61324113112966,-345.60019294149333,-345.5871457125907,-345.57410033600496,-345.5610559533452,-345.5480143339475,-345.53497022143654,-345.5219315460147,3954.239872818436,3954.239872818436,2689.172154621483,-2675.485205876338,-3080.624200347429
1.522222222222222,-434.6077328997746,-434.5924568607927,-434.5771809057135,-434.5619059371844,-434.5466319681134,-434.5313607752126,-434.51608973813137,-434.5008223927755,-434.48555522905554,-434.47028915146257,-434.4550268098515,-434.4397629358608,-434.42450283842055,-434.4092438842718,-434.39398609369886,-434.37872947684383,-434.363472292953,-434.3482207259432,-434.3329686223239,-434.31771775604113,-434.30246903343016,3701.57346902944,3701.57346902944,2717.0366767956466,-2703.218990001511,-3099.244102113969
1.5232323232323233,-523.5500382865634,-523.5325442213234,-523.5150539907202,-523.4975640846644,-523.4800762771018,-523.4625914706797,-523.4451070339833,-523.4276238632058,-523.4101437405911,-523.3926640384127,-523.3751856482536,-523.3577121244598,-523.3402372978669,-523.3227656051838,-523.3052944048536,-523.2878263688594,-523.2703597453838,-523.2528927826086,-523.2354290348799,-523.2179685058859,-523.20050681055,3447.829159338587,3447.829159338587,2744.91167676891,-2730.963191740077,-3117.8688503564763
1.5242424242424242,-612.6099495423391,-612.5902362918752,-612.5705270945645,-612.5508202078091,-612.5311156399074,-612.5114125287803,-612.4917108854922,-612.4720107330932,-612.4523138492173,-612.4326175987619,-612.41292288714,-612.3932323743487,-612.3735416670135,-612.3538534214431,-612.3341667774032,-612.3144835180594,-612.2948036535541,-612.2751219053837,-612.255443587088,-612.2357687171075,-612.216093772444,3193.0069425596707,3193.0069425596707,2772.7973483436563,-2758.7180345554643,-3136.4983480551664
1.5252525252525253,-701.7874301728566,-701.7654983438512,-701.7435681421923,-701.721639579866,-701.6997126771564,-701.6777892199957,-701.6558665677494,-701.6339473914782,-701.6120308217273,-701.5901151066794,-701.5682038006798,-701.5462907271885,-701.5243829801453,-701.5024761486573,-701.4805729074737,-701.4586697326748,-701.4367692897895,-701.4148733739702,-701.3929766818189,-701.371083663875,-701.3491925563344,2937.106820436797,2937.106820436797,2800.69391511137,-2786.483712338174,-3155.1325889957243
1.5262626262626262,-791.0824787528826,-791.0583236559959,-791.034168636558,-791.010016363786,-790.985866855198,-790.9617192431832,-790.9375753109077,-790.9134324195808,-790.8892923569786,-790.8651560257481,-790.8410207815668,-790.8168884149766,-790.7927571667838,-790.7686306042424,-790.7445051886807,-790.7203809459148,-790.6962596591109,-790.6721422318383,-790.6480260170079,-790.6239119264869,-790.5998017406757,2680.12879293588,2680.12879293588,2828.601302263257,-2814.260160209452,-3173.771732703858
1.5272727272727271,-880.4951247498636,-880.4687399181223,-880.4423589274718,-880.4159817917423,-880.3896058693772,-880.3632311742065,-880.3368621576915,-880.310493512746,-880.2841279187298,-880.2577653894725,-880.2314041703903,-880.2050478195176,-880.1786928101687,-880.1523400422243,-880.125989536891,-880.0996430773346,-880.0732989108155,-880.0469561614248,-880.0206175112876,-879.9942803105489,-879.9679472450225,2422.072858049285,2422.072858049285,2856.519253657868,-2842.0471117996813,-3192.415682700859
1.5282828282828282,-970.025331585568,-969.9967167506672,-969.9681068688004,-969.939497510635,-969.910893137774,-969.882290209702,-969.8536905224926,-969.8250940899763,-969.796500039932,-969.767908391722,-969.739320045228,-969.710734130072,-969.682153326536,-969.6535723220022,-969.6249955734636,-969.5964222086992,-969.567850468515,-969.5392821397656,-969.510716355762,-969.4821540209956,-969.45359337074,2162.939017530061,2162.939017530061,2884.447978317823,-2869.8448065731586,-3211.064284817574
1.5292929292929294,-1059.6731255956256,-1059.6422796087418,-1059.61143524275,-1059.580594290959,-1059.5497567662767,-1059.5189235741163,-1059.488090291599,-1059.457263150586,-1059.4264377254324,-1059.3956149197074,-1059.3647965267191,-1059.3339798966128,-1059.3031668263843,-1059.2723573298645,-1059.2415505302215,-1059.2107464477403,-1059.179945987834,-1059.1491473839324,-1059.1183533246146,-1059.0875611563383,-1059.0567717817505,1902.7272731534483,1902.7272731534483,2912.387678199064,-2897.65341593966,-3229.717670017465
1.5303030303030305,-1149.4385088149395,-1149.4054260877738,-1149.3723469794943,-1149.339272398281,-1149.306198799008,-1149.2731297553828,-1149.2400643970288,-1149.2070009546103,-1149.173942120395,-1149.140884342802,-1149.1078329851605,-1149.0747827237874,-1149.0417353473822,-1149.0086917659671,-1148.975652887722,-1148.942616053571,-1148.9095821753826,-1148.8765521558032,-1148.8435269030122,-1148.8105019756904,-1148.7774827408543,1641.4376210738546,1641.4376210738546,2940.3379383307865,-2925.4725251220134,-3248.3758607422096
1.5313131313131314,-1239.3214513489688,-1239.2861307391515,-1239.2508130779202,-1239.2154983837147,-1239.180188454454,-1239.1448797413232,-1239.109577603963,-1239.074276720536,-1239.0389788788175,-1239.003686774763,-1238.968396859559,-1238.9331109302016,-1238.8978272191985,-1238.862548416973,-1238.8272727551116,-1238.791999360471,-1238.7567300318915,-1238.7214665672918,-1238.6862045290404,-1238.6509457086015,-1238.6156919112698,1379.07006311214,1379.07006311214,2968.2988645924133,-2953.3022805957044,-3267.0386577720337
