gap/L_lower,2.1,2.3,2.5,2.7,2.9,3.1,3.3,3.5
1,5960.266295609336,5971.513060217822,5980.184994756833,5988.269727894825,5995.160863321171,5998.008590553470,6003.329191006508,6007.937466707220
1.25,5958.774786661519,5970.018739167251,5978.688508978477,5986.771226441084,5993.660647385358,5996.507666987332,6001.826949222535,6006.434087628785
1.5,5957.283277726167,5968.524418129709,5977.192023214477,5985.272725003575,5992.160431468255,5995.006743441170,6000.324707461863,6004.930708577597
1.75,5955.791768803281,5967.030097105197,5975.695537464864,5983.774223582301,5990.660215569905,5993.505819914983,5998.822465724453,6003.427329553659
2,5954.300259892908,5965.535776093723,5974.199051729622,5982.275722177296,5989.159999690301,5992.004896408804,5997.320224010384,6001.923950557003
2.25,5952.808750995030,5964.041455095318,5972.702566008770,5980.777220788535,5987.659783829477,5990.503972922653,5995.817982319625,6000.420571587634
2.5,5951.317242109665,5962.547134109975,5971.206080302323,5979.278719416079,5986.159567987428,5989.003049456518,5994.315740652210,5998.917192645593
2.75,5949.825733236805,5961.052813137694,5969.709594610297,5977.780218059906,5984.659352164173,5987.502126010445,5992.813499008163,5997.413813730879
3,5948.334224376481,5959.558492178514,5968.213108932700,5976.281716720038,5983.159136359731,5986.001202584441,5991.311257387500,5995.910434843520
