wavl,"AS(5.00,0.00)","AS(4.00,0.00)","AS(2.80,0.00)","S(2.80,0.00)","AS(0.00,2.00)","S(0.00,2.00)"
1.5404040404040404,-564.2974210357237,-484.45442567187087,-633.9478366195181,-750.0122223673741,-633.7151855583255,-750.2448734285665
1.5406060606060603,-546.2055439437918,-426.7415374179941,-630.9481036959505,-746.9021624275529,-630.7156737851388,-747.1345923383645
1.5408080808080808,-529.163502895168,-371.5659781005921,-629.1680796736729,-742.6396081957755,-628.9406259948062,-742.8670618746435
1.541010101010101,-517.900438798042,-330.40737562139645,-628.4004092378259,-737.4308757757142,-628.1818576676834,-737.6494273458543
1.5412121212121213,-515.8110914248798,-311.50620048218457,-627.7614814534074,-732.1585368919028,-627.5522175557037,-732.3678007896041
1.5414141414141411,-518.963009438242,-305.3167227719481,-626.5479171118201,-727.5249315421635,-626.3455086864166,-727.7273399675694
1.5416161616161617,-522.9060822337224,-301.0361202966756,-624.6763526390466,-723.6123840894809,-624.4780353640618,-723.8107013644669
1.5418181818181818,-526.5112478983478,-295.24091831427893,-622.6828431315855,-719.8838002267535,-622.4880038130316,-720.0786395453061
1.542020202020202,-528.4252020362666,-281.93589196157626,-621.306000656547,-715.5995286757048,-621.116989279547,-715.7885400527059
1.5422222222222222,-527.7874977195136,-257.3092046503316,-620.8716956266304,-710.4326598125939,-620.6921706739702,-710.6121847652541
1.5424242424242425,-525.7621224860999,-226.51738801614204,-620.8368642686871,-704.9252182001229,-620.6683091633029,-705.093773305506
1.5426262626262626,-523.5480807032584,-194.8694774025016,-619.5434675446222,-700.7342036658805,-619.3807207140145,-700.8969504964894
1.5428282828282829,-521.3543342825594,-162.11666346458634,-615.4658486465779,-699.3842338067914,-615.2976342434977,-699.5524482098716
1.543030303030303,-519.2585765282901,-124.419161598357,-609.3561207446672,-700.1221562415928,-609.1741802265894,-700.3040967596695
1.5432323232323233,-517.3039184396179,-79.64630921255412,-603.8236983342055,-700.3375172641895,-603.6302363841779,-700.5309792142182
1.5434343434343434,-515.4216188025111,-31.19538779836409,-601.3455146373783,-697.5523444416295,-601.1526680470162,-697.7451910319929
1.5436363636363637,-513.5471003679602,17.74651717855238,-601.9707225351997,-691.7164456819536,-601.7908272331532,-691.8963409839987
1.5438383838383838,-511.715989468756,69.8801098762516,-603.8405720320914,-684.6875317699689,-603.6785143012154,-684.8495895008462
1.544040404040404,-510.0712353357772,135.29021333533342,-606.158674105139,-677.2609525179299,-606.0161495880011,-677.4034770350703
1.5442424242424242,-508.6807219784629,218.76596153477053,-609.0027838758621,-669.3579135934446,-608.8818020184459,-669.4788954508596
1.5444444444444445,-507.4149050050856,311.1683082702815,-611.9157678700623,-661.4345092596931,-611.8165075530487,-661.5337695767054
1.5446464646464646,-506.1541931694183,404.6415016063787,-613.1645214324831,-655.2228049612875,-613.0802156030824,-655.3071107907434
1.544848484848485,-503.97487844054376,504.9371582508004,-611.2003205177533,-652.270485532766,-611.117995371939,-652.3528106786392
1.545050505050505,-498.2266234610523,631.5461476128628,-607.1307998160974,-651.4688770730979,-607.0419241402275,-651.5577527488549
1.545252525252525,-487.860961952812,792.1790155098754,-603.4864766930084,-650.2864230058173,-603.3926662005485,-650.3802334981018
1.5454545454545454,-475.32972538583454,968.8047576529924,-602.0195931062408,-646.9698421621906,-601.9294903320242,-647.0599449364647
1.5456565656565655,-462.6154335202313,1147.2147970407084,-602.542920159686,-641.7053242278342,-602.4644191208173,-641.783825266877
1.5458585858585858,-452.1313009392121,1338.7502204441632,-603.2044160845497,-636.3438717608894,-603.1379880457131,-636.4102997997262
1.546060606060606,-449.7371068834227,1577.3832528177809,-601.9785977932893,-632.9099286375524,-601.9165959406199,-632.9719304901629
1.5462626262626262,-457.2893045008882,1873.876765761412,-598.3725100237755,-631.8954109090564,-598.3053133688711,-631.9626075639585
1.5464646464646463,-469.2682501815011,2196.2305818699106,-593.8830364688921,-631.8023956721725,-593.8070271133167,-631.8784050277454
1.5466666666666666,-481.355025584237,2520.999617215558,-590.4368810836613,-630.7031397608653,-590.3561673681601,-630.78385347637
1.546868686868687,-479.0172310938411,2850.638280265958,-588.8992042115563,-627.7314436210722,-588.821364987704,-627.8092828449269
1.547070707070707,-427.9536743277681,3196.116267324101,-588.5596212891193,-623.596652605496,-588.4893895598568,-623.6668843347572
1.5472727272727274,-319.9905378564223,3560.047657984119,-588.7785213839159,-618.9373384353756,-588.7180680350879,-618.9977917842036
1.5474747474747474,-187.9630694026713,3931.931703803232,-589.7825221063227,-613.525844289266,-589.7349286169841,-613.5734377786048
1.5476767676767678,-55.08297694272517,4303.533084919472,-591.4512022683612,-607.4815521440813,-591.4190694321645,-607.5136849802781
1.547878787878788,40.23764197342712,4630.171605957073,-593.6389828155653,-600.9490018439836,-593.624329882419,-600.9636547771275
1.5480808080808082,16.51608286642454,4813.945970791422,-596.8182701736059,-593.4547477531021,-596.8250123541034,-593.4480055726034
1.5482828282828285,-139.26685505445568,4839.213673510472,-601.1001477908789,-584.8866672115928,-601.1326477127815,-584.8541672896926
1.5484848484848486,-347.95238725156554,4801.083909786661,-605.2553802793385,-576.4729563964393,-605.3130746480974,-576.4152620276827
1.548686868686869,-550.2944183662524,4757.845259593625,-606.4021787114417,-571.0943650247227,-606.4729532239413,-571.0235905122231
1.548888888888889,-450.1360752262098,4672.477814029829,-602.88664366423,-570.4037533087005,-602.9517556179517,-570.3386413549764
1.549090909090909,549.6506489220171,4461.934281892649,-596.937149837233,-572.1717073378887,-596.9867921666654,-572.1220650084551
1.5492929292929294,2497.410130109753,4119.491016565838,-591.9213877001499,-573.0294974308848,-591.9592564941819,-572.9916286368529
1.5494949494949497,4804.954361419753,3726.9519233232886,-589.567387931002,-571.2480536997133,-589.6041090365492,-571.2113325941685
1.5496969696969698,7123.731969323072,3332.139845782532,-589.170759518985,-567.5307279448557,-589.2141369622714,-567.4873505015706
1.54989898989899,9240.47071797167,2949.041651653129,-588.577318324699,-564.0306650938945,-588.6265220910504,-563.9814613275419
1.5501010101010102,10787.976621083011,2599.316261807692,-586.0530682932103,-562.480821991162,-586.1003188609337,-562.4335714234386
1.5503030303030303,11765.701674517892,2282.995947310312,-581.5711523086931,-562.9070165419151,-581.6085645688954,-562.8696042817128
1.5505050505050506,12540.226291618195,1978.457873047916,-577.2157020783455,-563.2240778280062,-577.2437482892626,-563.1960316170891
1.5507070707070707,13280.268274507474,1675.140035639797,-576.397216683908,-560.0204675570146,-576.4300438774206,-559.987640363502
1.550909090909091,13471.978180224687,1391.5227989473665,-580.4918992567395,-551.9189433862065,-580.5491737466849,-551.8616688962612
1.551111111111111,12212.083837681132,1160.416797402161,-586.7998801844235,-541.6183357175618,-586.8904465903677,-541.5277693116188
1.5513131313131314,9571.976272159418,979.2287484390072,-591.4200865958117,-533.018678212325,-591.5371522188439,-532.9016125892928
1.5515151515151515,6465.582883613511,814.7608614641067,-592.3445946246779,-528.126855524601,-592.4733190826337,-527.998131066644
1.5517171717171718,3372.447808071862,651.4093465096066,-590.8096327430223,-525.7055999711532,-590.9401337768289,-525.5750989373468
1.551919191919192,793.545410341268,499.9639693519216,-589.0636116832857,-523.5054616098834,-589.195022995111,-523.3740502979272
1.5521212121212122,-494.3868068461784,378.5171851272341,-588.0492367214972,-520.5826959539555,-588.1844734024379,-520.4474592730172
1.5523232323232323,-616.4968396968269,284.1539148568945,-587.7066152687731,-516.9961563806281,-587.8483543837315,-516.8544172659302
1.5525252525252526,-369.6269227851209,198.3133685204573,-587.7062623847892,-513.0742886193937,-587.8558621761417,-512.9246888280375
1.5527272727272727,-118.36507293527342,113.0804069268014,-588.1505524756618,-508.71367905449216,-588.3097836884676,-508.55444784155435
1.552929292929293,63.69652677472959,34.45304712244479,-589.1356552336129,-503.81711878236615,-589.3066762400684,-503.64609777591176
1.5531313131313131,81.29397938916384,-28.409000755116267,-589.9364189483821,-499.108720301098,-590.1184830702397,-498.92665617924274
1.5533333333333337,-42.1991310309877,-77.75314335195117,-588.1076114746879,-497.0326765464856,-588.2901711815599,-496.8501168396136
1.5535353535353535,-207.60600667471408,-123.115345104129,-581.8047054757608,-499.4324756451417,-581.9698206103589,-499.26736051054485
1.553737373737374,-371.3188847996794,-168.20074417388406,-573.037220187782,-504.2975591489868,-573.175008838464,-504.1597704983024
1.553939393939394,-503.3747559235814,-210.3647854820927,-567.1888819033411,-506.2431615543248,-567.3110475998479,-506.120995857818
1.5541414141414145,-563.9806854564032,-245.9057235788505,-569.0785002407368,-500.4494340317587,-569.2160672039136,-500.3118670685843
1.5543434343434344,-566.3673975127704,-276.0543571381016,-577.3272454855564,-488.2941670855439,-577.5057122913589,-488.11570027974017
1.554545454545455,-552.6330278107532,-304.7268857731231,-586.0095170430209,-475.7019221001752,-586.2306286171248,-475.4808105260712
1.5547474747474748,-538.9949643619495,-333.0088223613957,-590.2652400101159,-467.5317347671759,-590.5112593212759,-467.28571545601596
1.554949494949495,-528.666016044763,-357.0918058197707,-589.5142735447031,-464.3627067182635,-589.7651398603402,-464.11184040262754
1.5551515151515152,-525.429064693033,-372.1655049177273,-586.898643184691,-463.0517732044199,-587.1468942355226,-462.8035221535883
1.5553535353535357,-527.6822194693655,-380.2668947446928,-584.9509272997328,-461.06531664530905,-585.199256006252,-460.81698793878866
1.5555555555555556,-531.3508959435107,-386.5772410096624,-584.20941578003,-457.8640079396217,-584.4626751500032,-457.6107485696485
1.555757575757576,-535.8837351086219,-393.6984937689504,-584.1623161929241,-453.958600308924,-584.4233095414705,-453.6976069603776
1.555959595959596,-548.4009058300478,-408.531439237008,-584.4893891390984,-449.6682939426466,-584.7596380245811,-449.3980450571639
1.5561616161616163,-577.157663724075,-439.0471818119519,-585.3893931051398,-444.79329114228585,-585.6712179915551,-444.5114662558706
1.5563636363636364,-617.8656230404091,-481.1049456050146,-586.6748266807732,-439.5200541078358,-586.9697984223574,-439.2250823662516
1.5565656565656567,-661.4486759635652,-525.9410294696296,-586.9282019618212,-435.2650315332185,-587.232210786963,-434.96102270807665
1.5567676767676768,-702.9090363050937,-568.9533674366326,-583.9548382854563,-434.22186486958446,-584.2549780304914,-433.9217251245493
1.5569696969696971,-726.3646105659192,-596.4423273428995,-577.7152262604823,-436.4290242975813,-577.9984344523082,-436.14581610575533
1.5571717171717172,-714.9421727461104,-593.8547966660441,-571.3669675884053,-438.72786890458167,-571.6328426617102,-438.4619938312779
1.5573737373737375,-679.1392205152627,-570.244841579651,-569.6016218538687,-436.42579989585846,-569.8685727890339,-436.1588489606944
1.5575757575757576,-637.9540817329864,-541.998472416001,-574.224662996325,-427.716304120826,-574.5183390018672,-427.4226281152839
1.557777777777778,-598.4515572395542,-514.9911283407381,-581.5802358292557,-416.25419755459467,-581.9116318728462,-415.9228015110042
1.557979797979798,-571.7125294598867,-497.382815320133,-585.7906270418846,-407.916154297989,-586.1471764226463,-407.559604917226
1.5581818181818183,-568.5079184582452,-497.1038181691175,-583.4674910055716,-406.0894807683897,-583.8230452271195,-405.7339265468394
1.5583838383838384,-580.9359879710387,-508.3363412416659,-576.9667505725051,-408.41721490189417,-577.3046081164159,-408.0793573579823
1.5585858585858587,-596.523796080681,-521.8969561875961,-573.3243573248546,-407.86236590608,-573.6560258865959,-407.5306973441922
1.5587878787878788,-611.0148656478838,-534.9997704409642,-579.2024532498353,-397.7617525845325,-579.5661511344381,-397.39805469992984
1.5589898989898991,-618.1269664416766,-544.9858690194071,-593.7081851593744,-379.00718891349806,-594.1385533065921,-378.5768207665792
1.5591919191919192,-612.2963432924197,-549.5010841802723,-604.4690228364802,-363.9701658979052,-604.9511027952906,-363.4880859392473
1.5593939393939396,-598.2906895310083,-550.562751870532,-591.3334535245951,-372.8011570848537,-591.7715015125207,-372.3631090967757
1.5595959595959596,-582.7728676221789,-550.9901033634096,-548.4075202137076,-411.3930802729277,-548.6821656584576,-411.11843482787515
