wavelength,beta_1_uncoupled,beta_2_uncoupled,beta_ave_uncoupled
1.535,-0.15239110143375,0.15239110143375,6095.143714526752
1.536,-0.14081716187229176,0.14081716187138227,6090.860141477611
1.537,-0.12928902411385934,0.12928902411476884,6086.582643771011
1.538,-0.11780659691885376,0.11780659691885376,6082.31120844523
1.539,-0.10636978934689978,0.10636978934780927,6078.045822575377
1.54,-0.09497851051855832,0.09497851051764883,6073.786473272241
1.541,-0.08363266982360074,0.08363266982451023,6069.533147684009
1.542,-0.07233217683005932,0.07233217683005932,6065.2858329943765
1.543,-0.061076941339706536,0.061076941339706536,6061.044516423528
1.544,-0.04986687327254913,0.04986687327254913,6056.809185228423
1.545,-0.038701882818713784,0.038701882818713784,6052.579826700493
1.546,-0.027581880339312193,0.027581880339312193,6048.356428168539
1.547,-0.016506776375535992,0.016506776376445487,6044.138976995873
1.548,-0.005476481675032119,0.0054764816759416135,6039.927460582352
1.549,0.0055090928353820345,-0.0055090928353820345,6035.721866362102
1.55,0.016450035938760266,-0.01645003593785077,6031.522181805807
1.551,0.02734643637722911,-0.02734643637722911,6027.328394418797
1.552,0.038198382563678024,-0.038198382563678024,6023.140491741212
1.553,0.049005962755472865,-0.04900596275456337,6018.9584613485
1.554,0.05976926504717994,-0.05976926504627045,6014.782290851244
1.555,0.07048837730599189,-0.07048837730599189,6010.611967893905
1.556,0.08116338717991312,-0.08116338717991312,6006.447480156752
1.557,0.09179438217233837,-0.09179438217233837,6002.288815353027
1.558,0.10231678380932863,-0.10231678380841913,5998.134732667653
1.559,0.11279527606347983,-0.11279527606257034,5993.98645463818
1.56,0.1232299462399169,-0.1232299462399169,5989.8439690543155
1.561,0.13362088154190133,-0.13362088154099183,5985.707263739067
1.562,0.14396816894532094,-0.14396816894532094,5981.576326550139
1.563,0.15427189522506524,-0.15427189522506524,5977.4511453782925
1.564,0.1645321469859482,-0.1645321469859482,5973.331708148784
1.565,0.17474901056721137,-0.17474901056812087,5969.2180028205585
